UNITED STATES NEWSPAPER COVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,
,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d
Washington Post,22,13,18,36,22,11,16,21,21,15,30,17,26,17,38,63,55,67,66,35,21,13,16,12,25,30,22,27,33,22,33,22,32,16,22,17,24,24,19,12,18,15,24,29,26,18,15,18,18,16,12,17,29,31,44,27,26,49,38,41,35,42,24,22,26,44,61,30,56,34,41,39,54,48,50,59,67,68,60,79,73,65,87,67,138,106,132,134,126,126,105,81,111,102,93,117,120,89,106,127,98,101,92,99,75,95,81,72,80,91,103,96,55,73,73,70,91,102,131,124,83,73,58,82,62,49,56,52,53,66,51,51,56,41,51,44,57,40,41,53,52,53,63,65,58,42,59,58,55,42,64,59,60,68,89,53,66,82,49,56,50,67,48,23,53,64,62,43,51,72,61,63,66,69,63,50,81,66,90,59,72,69,60,81,50,86,51,62,102,73,106,120,83,53,52,77,55,66,60,71,86,76,96,106,132,67,105,100,80,107,96,74,91,74,94,50,72,42,39,76,55,52,37,46,73,98,98,112,106,115,126,88,113,140,101,134,146,114,120,141,164,117,88,86,52,52,55,15,108,106,124,83,116,97,110,158,104,141,154,155,174,239,215,113,117,91,99,111,105,107,169,172,138,,,
Wall Street Journal,3,3,2,1,2,2,2,3,2,3,9,5,0,0,7,11,6,9,17,7,2,1,2,0,2,9,2,4,2,4,4,6,0,5,3,4,7,7,3,5,3,1,9,1,2,4,6,8,1,3,1,1,7,6,2,3,7,10,4,6,3,9,6,5,8,11,6,7,2,6,8,12,5,9,5,7,9,11,9,8,15,4,13,10,30,28,33,41,22,34,26,16,32,30,26,30,30,23,25,41,35,32,37,8,16,17,35,24,16,17,39,47,46,43,38,33,32,38,46,93,25,30,23,27,23,18,23,12,13,23,20,21,16,3,3,17,9,15,6,8,8,18,11,22,8,11,16,10,7,10,6,9,9,10,22,15,22,10,15,10,13,20,9,12,23,24,14,3,18,17,13,23,21,31,26,21,26,22,30,21,14,9,14,23,16,33,20,27,29,24,36,43,10,15,13,22,12,18,16,13,23,11,21,17,13,27,19,12,20,50,23,11,13,14,21,11,15,8,8,17,16,14,3,12,5,21,10,13,26,7,12,9,9,11,9,16,13,17,14,13,17,17,6,3,3,2,8,8,6,6,4,15,7,14,8,19,14,14,17,23,18,25,26,13,17,19,23,11,15,13,14,14,14,,,
New York Times,37,22,13,30,16,27,32,42,32,44,63,28,30,34,53,55,63,97,98,38,14,15,28,19,33,35,40,40,25,57,36,42,44,21,33,58,35,42,27,23,25,35,26,37,30,37,47,34,35,21,23,27,39,36,27,33,43,48,33,37,39,40,37,30,40,59,53,36,63,41,54,81,50,64,53,77,103,94,74,75,80,72,99,87,137,138,142,161,162,134,150,75,103,118,126,163,121,102,102,110,100,129,106,95,105,111,100,104,112,118,110,126,91,66,92,90,108,111,127,164,97,79,74,78,72,63,66,59,60,62,80,66,51,56,65,61,51,45,61,60,60,72,57,77,46,54,64,71,48,49,66,58,73,70,134,76,83,84,57,83,68,81,65,48,83,76,90,69,77,70,54,79,116,91,78,58,119,91,148,108,100,93,78,100,94,116,97,96,139,93,123,176,115,102,94,115,99,101,70,93,136,128,346,343,372,102,142,131,128,169,141,110,128,117,108,277,317,179,258,267,217,191,252,337,282,402,373,270,259,305,423,329,355,362,378,506,524,458,448,424,466,398,284,431,314,213,298,289,429,466,337,323,344,338,333,379,363,454,537,497,575,646,617,419,277,297,360,351,347,355,529,505,474,,,
USA Today,5,3,2,9,10,5,3,7,5,6,10,13,10,3,10,14,3,15,27,11,1,5,4,2,4,12,5,6,7,8,6,8,5,3,11,8,8,7,4,3,3,5,3,1,9,3,6,5,5,3,2,9,10,5,3,7,5,6,10,8,0,10,0,4,5,11,14,5,10,8,7,8,10,7,10,8,25,26,10,15,12,17,23,15,25,29,33,25,36,44,28,26,19,25,29,29,30,21,19,24,22,21,24,25,19,18,22,13,25,19,21,26,11,7,14,14,19,22,27,41,13,11,18,21,7,14,14,7,13,12,21,11,8,9,15,8,11,19,8,13,13,12,11,7,14,6,9,6,8,14,11,14,12,20,20,3,14,15,12,10,12,21,15,10,12,13,17,14,20,23,18,14,20,18,13,8,21,9,23,12,8,15,9,19,12,32,12,22,41,16,23,38,21,16,11,16,9,12,16,13,22,13,17,20,33,18,15,12,18,22,25,15,24,11,15,10,11,7,5,9,8,3,10,9,12,8,10,8,14,10,12,10,12,18,11,7,14,9,12,12,12,14,15,10,11,5,8,12,21,11,19,9,22,13,9,16,16,33,14,15,16,19,18,16,12,8,21,11,10,12,12,24,25,,,
Los Angeles Times,14,12,16,20,17,12,16,26,14,23,14,14,14,17,29,34,34,53,73,25,18,22,12,16,18,23,27,18,22,28,30,36,31,25,21,21,18,21,19,7,18,13,10,9,17,17,23,15,18,15,21,15,25,29,15,30,17,26,25,28,28,29,15,16,14,36,38,26,39,14,16,31,32,30,32,46,49,63,62,67,71,65,55,48,95,96,85,108,72,84,91,74,82,78,90,98,79,71,58,68,57,75,80,41,53,57,67,60,49,64,47,55,32,39,54,51,58,59,79,88,52,49,53,50,38,37,39,29,52,79,43,30,31,27,26,33,21,29,27,26,32,18,27,32,27,22,28,29,8,31,26,22,18,21,44,36,26,25,33,28,25,36,27,35,27,26,34,18,29,51,24,9,44,47,22,21,61,32,61,52,68,39,39,45,55,48,50,66,102,64,63,105,68,48,42,51,50,55,42,55,58,47,96,79,93,53,59,75,53,84,91,67,66,58,42,69,57,36,44,57,58,31,69,66,76,60,69,96,64,76,68,61,70,54,69,88,100,80,119,89,80,70,52,46,32,25,34,61,96,62,93,44,62,60,60,73,65,71,97,127,125,120,119,90,90,59,77,82,98,69,114,129,129,,,
5 newspapers combined,81,53,51,96,67,57,69,99,74,91,126,77,80,71,137,177,161,241,281,116,56,56,62,49,82,109,96,95,89,119,109,114,112,70,90,108,92,101,72,50,67,69,72,77,84,79,97,80,77,58,59,69,110,107,91,100,98,139,110,120,105,130,82,77,93,161,172,104,170,103,126,171,151,158,150,197,253,262,215,244,251,223,277,227,425,397,425,469,418,422,400,272,347,353,364,437,380,306,310,370,312,358,339,268,268,298,305,273,282,309,320,350,235,228,271,258,308,332,410,510,270,242,226,258,202,181,198,159,191,242,215,179,162,136,160,163,149,148,143,160,165,173,169,203,153,135,176,174,126,146,173,162,172,189,309,183,211,216,166,187,168,225,164,128,198,203,217,147,195,233,170,188,267,256,202,158,308,220,352,252,262,225,200,268,227,315,230,273,413,270,351,482,297,234,212,281,225,252,204,245,325,275,576,565,643,267,340,330,299,432,376,277,322,274,280,417,472,272,354,426,354,291,371,470,448,589,560,499,469,513,641,497,559,585,568,751,797,678,713,679,739,616,445,576,412,297,403,385,660,651,577,474,551,522,520,645,562,713,819,817,908,1049,995,651,513,474,580,566,575,556,838,844,780,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure Citation: Boykoff, M., Daly, M., McNatt, and Nacu-Schmidt, A. (2022). United States Newspaper Coverage of Climate Change or Global Warming, 2000-2022. Media and Climate Change Observatory Data Sets. Cooperative Institute for Research in Environmental Sciences, University of Colorado. doi.org/10.25810/jck1-hf50.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
